Id,c_l4,g_l4
1051,4.5,5343
1052,4.5,5343
1053,4.5,85
1054,4.5,3141
1055,4.5,3141
1056,4.5,5926
1057,4.5,5926
1058,4.5,3967
1059,4.5,1887
1060,4.5,185
1061,4.5,70
1062,4.5,20
1063,4.5,1063
1064,4.5,1063
1065,4.5,910
1066,4.5,425
1067,4.5,425
1068,4.5,295
1069,4.5,295
1070,4.5,1070
1071,4.5,1070
1072,4.5,3141
1073,4.5,415
1074,4.5,3967
1075,4.5,3967
1076,4.5,1076
1077,4.5,1535
1078,4.5,1678
1079,4.5,3141
1080,4.5,957
1081,4.5,653
1082,4.5,85
1083,4.5,796
1084,4.5,711
1085,4.5,94
1086,4.5,5343
1087,4.5,3141
1088,4.5,1088
1089,4.5,425
1090,4.5,1063
1091,4.5,1091
1092,4.5,212
1093,4.5,1093
1094,4.5,796
1095,4.5,1602
1096,4.5,7645
1097,4.5,7645
1098,4.5,1
1099,4.5,1
1100,4.5,1100
1101,4.5,653
1102,4.5,76
1103,4.5,1103
1104,4.5,1103
1105,4.5,1105
1106,4.5,796
1107,4.5,1107
1108,4.5,20607
1109,4.5,1566
1110,4.5,487
1111,4.5,1217
1112,4.5,1
1113,4.5,85
1114,4.5,1115
1115,4.5,1115
1116,4.5,425
1117,4.5,1
1118,4.5,910
1119,4.5,2421
1120,4.5,796
1121,4.5,1248
1122,4.5,1122
1123,4.5,1122
1124,4.5,1125
1125,4.5,1125
1126,4.5,212
1127,4.5,6973
1128,4.5,695
1129,4.5,695
1130,4.5,1130
1131,4.5,882
1132,4.5,425
1133,4.5,5926
1134,4.5,507
1135,4.5,1122
1136,4.5,7037
1137,4.5,212
1138,4.5,3967
1139,4.5,796
1140,4.5,796
1141,4.5,1248
1142,4.5,695
1143,4.5,695
1144,4.5,124
1145,4.5,20
1146,4.5,775
1147,4.5,1602
1148,4.5,3837
1149,4.5,3837
1150,4.5,425
1151,4.5,425
1152,4.5,695
1153,4.5,1153
1154,4.5,425
1155,4.5,1155
1156,4.5,1155
1157,4.5,1217
1158,4.5,10427
1159,4.5,10427
1160,4.5,2246
1161,4.5,415
1162,4.5,695
1163,4.5,882
1164,4.5,728
1165,4.5,2421
1166,4.5,995
1167,4.5,995
1168,4.5,28911
1169,4.5,28911
1170,4.5,4659
1171,4.5,16175
1172,4.5,16175
1173,4.5,1173
1174,4.5,1174
1175,4.5,1175
1176,4.5,85
1177,4.5,1565
1178,4.5,2421
1179,4.5,1179
1180,4.5,3967
1181,4.5,212
1182,4.5,212
1183,4.5,695
1184,4.5,695
1185,4.5,457
1186,4.5,1186
1187,4.5,421
1188,4.5,1188
1189,4.5,20
1190,4.5,1190
1191,4.5,3141
1192,4.5,1457
1193,4.5,9206
1194,4.5,89
1195,4.5,1
1196,4.5,695
1197,4.5,1197
1198,4.5,3967
1199,4.5,415
1200,4.5,8127
1201,4.5,1201
1202,4.5,76
1203,4.5,695
1204,4.5,16639
1205,4.5,12031
1206,4.5,12031
1207,4.5,212
1208,4.5,882
1209,4.5,1208
1210,4.5,1457
1211,4.5,1457
1212,4.5,695
1213,4.5,882
1214,4.5,2421
1215,4.5,425
1216,4.5,425
1217,4.5,556
1218,4.5,556
1219,4.5,3967
1220,4.5,1
1221,4.5,1221
1222,4.5,415
1223,4.5,425
1224,4.5,425
1225,4.5,142
1226,4.5,812
1227,4.5,1226
1228,4.5,2421
1229,4.5,97
1230,4.5,1248
1231,4.5,212
1232,4.5,2421
1233,4.5,1457
1234,4.5,5926
1235,4.5,5926
1236,4.5,302
1237,4.5,1237
1238,4.5,1237
1239,4.5,823
1240,4.5,1240
1241,4.5,212
1242,4.5,404
1243,4.5,775
1244,4.5,1
1245,4.5,1457
1246,4.5,1246
1247,4.5,1247
1248,4.5,796
1249,4.5,1602
1250,4.5,421
1251,4.5,1122
1252,4.5,1251
1253,4.5,2421
1254,4.5,796
1255,4.5,76
1256,4.5,2421
1257,4.5,487
1258,4.5,1602
1259,4.5,17086
1260,4.5,400
1261,4.5,1261
1262,4.5,1261
1263,4.5,10375
1264,4.5,1602
1265,4.5,1265
1266,4.5,2203
1267,4.5,1267
1268,4.5,3060
1269,4.5,415
1270,4.5,1270
1271,4.5,1270
1272,4.5,2421
1273,4.5,1273
1274,4.5,695
1275,4.5,1275
1276,4.5,1248
1277,4.5,1063
1278,4.5,1122
1279,4.5,1122
1280,4.5,796
1281,4.5,212
1282,4.5,1282
1283,4.5,5926
1284,4.5,1285
1285,4.5,1284
1286,4.5,404
1287,4.5,1287
1288,4.5,1
1289,4.5,1457
1290,4.5,2421
1291,4.5,2421
1292,4.5,126
1293,4.5,126
1294,4.5,1294
1295,4.5,15421
1296,4.5,425
1297,4.5,1296
1298,4.5,16729
1299,4.5,1298
1300,4.5,1217
1301,4.5,2421
1302,4.5,272
1303,4.5,7645
1304,4.5,76
1305,4.5,3679
1306,4.5,1457
1307,4.5,10623
1308,4.5,695
1309,4.5,24851
1310,4.5,8887
1311,4.5,1311
1312,4.5,796
1313,4.5,400
1314,4.5,3119
